新闻频道,#genre#
金鹰卡通,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/jykt/1300000/mnf.m3u8
嘉佳卡通,http://183.207.255.188/live/program/live/jjkt/1300000/mnf.m3u8
嘉佳卡通,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/jjkt/1300000/mnf.m3u8
上海教育,https://live2018.setv.sh.cn/setv/programme10_ud.m3u8?auth_key=4794048378-0-0-06e60dd476e18047abd3be7701993ee8
上海教育,https://live2018.setv.sh.cn/setv/programme10_ud.m3u8?auth_key=4794048378-0-0-06e60dd476e18047abd3be7701993ee8abd3be7701993ee8
安徽频道,#genre#
凤凰资讯台,http://221.179.136.138:443/PLTV/88888888/224/3221225949/1.m3u8
凤凰资讯台,http://221.179.136.139:443/PLTV/88888888/224/3221225949/1.m3u8
凤凰中文台,http://221.179.136.150:443/PLTV/88888888/224/3221225942/1.m3u8
凤凰中文台,http://221.179.136.151:443/PLTV/88888888/224/3221225942/1.m3u8
凤凰中文台,http://221.179.136.152:443/PLTV/88888888/224/3221225948/1.m3u8
凤凰中文台,http://221.179.136.153:443/PLTV/88888888/224/3221225948/1.m3u8
安徽卫视HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225737/index.m3u8
安徽经济生活,http://112.30.194.221:20080/live/eac499adad7b49ff9cfa79ba84693959/hls.m3u8
安徽经济生活,http://live1.ahwanyun.cn/wylive/427c4278-8044-4305-a83c-d8102148e3cc.m3u8
安徽经济生活,http://sheenic.ueuo.com/ahhdtv.php?id=12
安徽经济高清,http://skycw.vicp.net:4022/udp/238.1.79.44:4464
安徽影视高清,http://skycw.vicp.net:4022/udp/238.1.79.42:4448
安徽公共高清,http://skycw.vicp.net:4022/udp/238.1.79.43:4456
安徽综艺高清,http://skycw.vicp.net:4022/udp/238.1.79.41:4440
安徽农业高清,http://skycw.vicp.net:4022/udp/238.1.79.40:4432
海豚影视高清,http://skycw.vicp.net:4022/udp/238.1.79.34:4384
海豚健康高清,http://skycw.vicp.net:4022/udp/238.1.79.33:4376 
海豚少儿高清,http://skycw.vicp.net:4022/udp/238.1.79.32:4368 
海豚生活高清,http://skycw.vicp.net:4022/udp/238.1.79.50:4512 
安徽综艺体育,http://live1.ahwanyun.cn/wylive/ccbf08e9-40a1-43ac-b0ab-89b32d90c9f8.m3u8
安徽综艺体育,http://sheenic.ueuo.com/ahhdtv.php?id=17
安徽影视,http://112.30.194.221:20080/live/d18ff95cb1fb4bbcb56215e189fc12be/hls.m3u8
安徽影视,http://live1.ahwanyun.cn/wylive/9f8f237e-586a-4e53-ae57-8abc222ff0f1.m3u8
安徽影视,http://sheenic.ueuo.com/ahhdtv.php?id=13
安徽农业科技,http://sheenic.ueuo.com/ahhdtv.php?id=14
安徽公共,http://sheenic.ueuo.com/ahhdtv.php?id=16
安徽人物频道,http://sheenic.ueuo.com/ahhdtv.php?id=19
安徽国际,http://sheenic.ueuo.com/ahhdtv.php?id=18
合肥新闻,https://hylive.hfbtv.com/lsdream/pdq062k/1000/live.m3u8
合肥生活,https://hylive.hfbtv.com/lsdream/5osSo9R/1000/live.m3u8
合肥故事休闲,https://hylive.hfbtv.com/lsdream/q66ojce/1000/live.m3u8
合肥财经,https://hylive.hfbtv.com/lsdream/FRTSshY/1000/live.m3u8
合肥教育法制,https://hylive.hfbtv.com/lsdream/5EfK6HI/1000/live.m3u8
合肥公共,https://hylive.hfbtv.com/lsdream/pytL5lE/1000/live.m3u8
合肥新闻广播,https://hylive.hfbtv.com/lsdream/eI5rRD8/1000/live.m3u8
合肥文艺广播,https://hylive.hfbtv.com/lsdream/3kJdo0U/1000/live.m3u8
合肥交通广播,https://hylive.hfbtv.com/lsdream/4Adae8P/1000/live.m3u8
合肥巢湖之声,https://hylive.hfbtv.com/lsdream/1KIhgn6/1000/live.m3u8
合肥故事广播,https://hylive.hfbtv.com/lsdream/CAgJZs0/1000/live.m3u8
国内体育,#genre#
CCTV5HD,http://183.251.61.207/PLTV/88888888/224/3221227170/index.m3u8
CCTV5+HD,http://183.251.61.207/PLTV/88888888/224/3221225821/index.m3u8
五星体育,http://58.34.204.67:9901/tsfile/live/1014_1.m3u8
五星体育http://shbu.live.bestvcdn.com.cn:8080/live/program/live/ssty/4000000/mnf.m3u8
新视觉,http://58.34.204.67:9901/tsfile/live/1011_1.m3u8
南方卫视,http://183.63.15.42:9901/tsfile/live/1012_1.m3u8
广东体育,http://183.63.15.42:9901/tsfile/live/0136_1.m3u8
江苏体育休闲,https://litchiapp-hls.jstv.com/lizhiapp/jsty.m3u8
博斯运动1,http://60.251.59.180:8503/http/59.120.8.187:8066/hls/210/10018/cstv18.m3u8
博斯运动2,http://60.251.59.180:8504/http/59.120.8.187:8081/hls/61/803/ch04.m3u8
ELEVEN SPORTS 1,http://60.251.59.180:8505/http/59.120.8.187:8078/hls/25/80/esport.m3u8
ELEVEN SPORTS 2,http://60.251.59.180:8506/http/59.120.8.187:8078/hls/26/80/esport2.m3u8
ASTRO SUPERSPORTS 1,http://203.154.243.89:21201/nakhon
ASTRO SUPERSPORTS 1,http://ultratv.one:2095/b6oxQeKNTb/x0zne3Wp/115615
ASTRO SUPERSPORTS 2,http://203.154.243.89:21202/nakhon
ASTRO SUPERSPORTS 2,http://ultratv.one:2095/b6oxQeKNTb/x0zne3Wp/115616
ASTRO SUPERSPORTS 3,http://203.154.243.89:21203/nakhon
ASTRO SUPERSPORTS 3,http://ultratv.one:2095/b6oxQeKNTb/x0zne3Wp/115617
ASTRO SUPERSPORTS 4,http://203.154.243.89:21204/nakhon
ASTRO SUPERSPORTS 4,http://axcestv.vip:8080/live/freeview/axcestv/791.ts
海外测试,#genre#
Star Sports 1 HD,http://103.55.144.46:80/hls/stersports1hd.m3u8
Free Star Sports 1 Hindi HD,http://20.207.205.210:8081/live/hindi/playlist.m3u8
Free Star Sports 2 HD,http://103.55.144.46:80/hls/starsports2.m3u8
Super Sport Cricket,http://103.124.110.34:8082/SUPERSPORT-CRICKET/index.m3u8
EUROSPORT 1 HD,http://194.58.42.152:8000/play/eurosport1hd/index.m3u8
EUROSPORT 2 HD,http://194.58.42.152:8000/play/eurosport2hd/index.m3u8
Setanta Sports 1 HD,http://194.58.42.152:8000/play/setantasports1hd/index.m3u8
Setanta Sports 2 HD,http://194.58.42.152:8000/play/setantasports2hd/index.m3u8
Sony Ten 1,http://103.55.144.46:80/hls/sonyten1.m3u8
Sony Ten 2,http://103.55.144.46:80/hls/sonyten2.m3u8
Sony Ten 3,http://103.55.144.46:80/hls/sonyten3.m3u8
Star Sports 1 HD,http://103.55.144.46:80/hls/stersports1hd.m3u8
Star Sports 2 HD,http://103.55.144.46:80/hls/starsports2.m3u8
Star Sports Select 1 HD,http://103.55.144.46:80/hls/Star_Sport_Select1HD.m3u8
Star Sports Select 2 HD,http://103.55.144.46:80/hls/select2.m3u8
Euro Sports HD,http://103.55.144.46:80/hls/euro.m3u8
T Sports HD,http://103.55.144.46:80/hls/t-sports.m3u8
Bindaass,http://103.55.144.46:80/hls/bindass.m3u8
Colors HD,http://103.55.144.46:80/hls/colore-tv-hd.m3u8
Colors Cineplex,http://103.55.144.46:80/hls/colorscineplex.m3u8
Sony Max,http://103.55.144.46:80/hls/sonymax.m3u8
Sony Max HD,http://103.55.144.46:80/hls/sony-maxhd.m3u8
Sony Entertainment,http://103.55.144.46:80/hls/sonyen.m3u8
Star Gold HD,http://103.55.144.46:80/hls/stargold.m3u8
Star Gold 2 HD,http://103.55.144.46:80/hls/stargold2hd.m3u8
Star Plus HD,http://103.55.144.46:80/hls/starplus.m3u8
UTV Movies,http://103.55.144.46:80/hls/utv.m3u8
UTV Action,http://103.55.144.46:80/hls/utvaction.m3u8
Zee Cinema HD,http://103.55.144.46:80/hls/zeecinemahd.m3u8
Zee TV HD,http://103.55.144.46:80/hls/zeetv.m3u8
海外体育,#genre#
SKY SPORTS F1 UK,http://nzgksbj3.akciatv.ru/iptv/RCHGZA3YE4MVAQ/7342/index.m3u8
SKY SPORTS PREMIER UK,http://nzgksbj3.akciatv.ru/iptv/RCHGZA3YE4MVAQ/7335/index.m3u8
SKY SPORTS FOOTBALL UK,http://nzgksbj3.akciatv.ru/iptv/RCHGZA3YE4MVAQ/7336/index.m3u8
SKY SPORTS MAIN EVENT UK,http://nzgksbj3.akciatv.ru/iptv/RCHGZA3YE4MVAQ/7337/index.m3u8
SKY SPORTS ARENA UK,http://nzgksbj3.akciatv.ru/iptv/RCHGZA3YE4MVAQ/7338/index.m3u8
SKY SPORTS MIX UK,http://nzgksbj3.akciatv.ru/iptv/RCHGZA3YE4MVAQ/7339/index.m3u8
SKY Sports Action HD UK,http://nzgksbj3.akciatv.ru/iptv/RCHGZA3YE4MVAQ/7340/index.m3u8
SKY SPORTS RACING UK,http://nzgksbj3.akciatv.ru/iptv/RCHGZA3YE4MVAQ/7341/index.m3u8
