新闻频道,#genre#
浙江钱江都市,http://hw-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江经济生活,http://hw-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江科教影视,http://hw-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江民生休闲,http://hw-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江新闻频道,http://hw-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江少儿频道,http://hw-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
广西新闻,http://110.72.62.85:808/hls/206/index.m3u8
广西新闻,http://111.59.63.32:9901/tsfile/live/1007_1.m3u8
广西影视,http://110.72.61.212:808/hls/83/index.m3u8
广西影视,http://111.59.63.32:9901/tsfile/live/1006_1.m3u8
广西影视,http://110.72.62.85:808/hls/201/index.m3u8
广西综艺,http://110.72.61.212:808/hls/81/index.m3u8
广西综艺,http://111.59.63.32:9901/tsfile/live/1004_1.m3u8
天津新闻,http://36.106.166.123:1111/udp/239.5.1.30:5000
天津文艺,http://36.106.166.123:1111/udp/239.5.1.31:5000
天津影视,http://36.106.166.123:1111/udp/239.5.1.2:5000
天津都市,http://36.106.166.123:1111/udp/239.5.1.27:5000
天津体育,http://36.106.166.123:1111/udp/239.5.1.3:5000
天津科教,http://36.106.166.123:1111/udp/239.5.1.29:5000
天津少儿,http://36.106.166.123:1111/udp/239.5.1.24:5000
天津蓟州,http://36.106.166.123:1111/udp/239.5.1.112:5000
4K测试,#genre#
河南卫视4k超,http://218.29.135.2:4000/udp/225.1.4.254:1300
欢笑剧场4K超,http://183.207.255.188/live/program/live/hxjchd/4000000/mnf.m3u8
CCTV4K,http://39.134.116.30:8080/PLTV/88888910/224/3221225786/index.m3u8
CCTV4K,http://39.135.138.60:18890/PLTV/88888910/224/3221225786/index.m3u8
CCTV4K,http://iptv.tvfix.org/hls/cctv4k.m3u8
爱上4K,http://39.134.18.82/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226352/index.m3u8
CCTV4K,https://p.ggiptv.com/v/4k.m3u8
纯享4K,http://39.134.116.30:8080/PLTV/88888910/224/3221225786/index.m3u8
